crypto,date,close,log_return,open,high,low,volume,target_7d,vol_30,sma,ema,momentum,cci,regime_label
ADAUSDT,2020-01-31,0.0539,-0.04071809301878515,0.05614,0.0568,0.05215,433767507.0,0.10504506702230909,0.045797536356875584,0.047333571428571426,0.04815055704490994,0.009000000000000001,122.76280727760422,0
ADAUSDT,2020-02-01,0.0561,0.04000533461369926,0.0539,0.05723,0.05312,316991127.7,0.06754202748357008,0.04536866401040013,0.04813428571428572,0.04921048277225528,0.011209999999999998,111.79221199391361,0
ADAUSDT,2020-02-02,0.0557,-0.007155665595412586,0.05608,0.0587,0.05489,534062511.4,0.105216878771627,0.04531325034781676,0.04911285714285714,0.05007575173595458,0.013699999999999997,102.69880884328144,0
ADAUSDT,2020-02-03,0.05696,0.022369120170482315,0.05572,0.05785,0.05528,293324470.9,0.05681698539759372,0.0452746631305759,0.05005428571428572,0.05099365150449397,0.013179999999999997,90.37471057978563,0
ADAUSDT,2020-02-04,0.05601,-0.01681902088197962,0.05698,0.05788,0.05395,290866580.7,0.12314466054540718,0.04566449203165654,0.05076785714285714,0.05166249797056144,0.009989999999999999,70.369671821954,0
ADAUSDT,2020-02-05,0.05933,0.057584834048811206,0.05601,0.06019,0.05561,340602221.6,0.13888950510414189,0.044964105165542625,0.05173785714285715,0.052684831574486585,0.013580000000000002,91.40808482979001,0
ADAUSDT,2020-02-06,0.06008,0.012561927185327448,0.05931,0.06088,0.05795,349428025.2,0.1336354151767054,0.0447389647607327,0.052945000000000006,0.05367085403122171,0.0169,99.56333570808917,0
ADAUSDT,2020-02-07,0.05987,-0.0035014625186189363,0.06011,0.06279,0.0594,291231933.0,0.16683563884007402,0.04441207162572035,0.05401071428571429,0.054497406827058816,0.014920000000000003,110.8191534514026,0
ADAUSDT,2020-02-08,0.06002,0.002502295074960248,0.05987,0.06135,0.05703,244212016.2,0.06825951367549177,0.044321221937535134,0.05521642857142857,0.05523375258345097,0.01688,90.45375701778687,0
ADAUSDT,2020-02-09,0.06188,0.030519185692644335,0.06001,0.0624,0.05997,200981732.1,-0.006810469002526354,0.044385472966464605,0.056438571428571435,0.05611991890565751,0.01711,126.16413093591514,0
ADAUSDT,2020-02-10,0.06029,-0.02603077320355096,0.06188,0.0621,0.0584,261446204.6,-0.0016600269416349178,0.04492626130420855,0.05731928571428572,0.05667592971823651,0.01233,85.73838713305605,0
ADAUSDT,2020-02-11,0.06335,0.04950865426583384,0.06027,0.0635,0.0589,272124502.2,-0.009675704004616037,0.04526343178601888,0.05806571428571428,0.05756580575580498,0.010450000000000001,113.49070818684102,0
ADAUSDT,2020-02-12,0.06817,0.07332967860754591,0.06339,0.07034,0.06336,457749344.8,-0.1724830667609143,0.04550756902449701,0.059128571428571426,0.05897969832169765,0.014879999999999997,207.31962356221663,0
ADAUSDT,2020-02-13,0.06867,0.00730783725789097,0.0682,0.07231,0.06481,517671388.6,-0.1662865436679115,0.04128737376341081,0.06002357142857143,0.0602717385454713,0.012529999999999993,190.49198816533394,0
ADAUSDT,2020-02-14,0.07074,0.029698761144749675,0.06868,0.07127,0.06712,299318987.9,-0.18947174047420523,0.0413132789082359,0.06122642857142857,0.06166750673940846,0.016839999999999994,167.54896379140084,0
ADAUSDT,2020-02-15,0.06426,-0.096073830089622,0.07071,0.07136,0.06234,397183062.7,-0.09819326124190253,0.045596604892878825,0.06180928571428571,0.062013172507487335,0.00816,80.27520936459021,0
